id,question,answer,topic,difficulty
225,Write a SQL query to find the count for each name in the students table.,"SELECT name,COUNT(*) FROM students GROUP BY name",GROUP BY,Easy
226,Write a SQL query to select all records from products where stock = 36.,SELECT * FROM products WHERE stock=36,WHERE,Easy
227,Write a SQL query to find the max for each customer_id in the orders table.,"SELECT customer_id,MAX(order_id) FROM orders GROUP BY customer_id",GROUP BY,Medium
228,Write a SQL query to retrieve all records from sales sorted by revenue in ascending order.,SELECT * FROM sales ORDER BY revenue ASC,ORDER BY,Easy
229,Write a SQL query to retrieve all records from students sorted by course in descending order.,SELECT * FROM students ORDER BY course DESC,ORDER BY,Medium
230,Write a SQL query to retrieve all records from students sorted by name in descending order.,SELECT * FROM students ORDER BY name DESC,ORDER BY,Medium
231,Write a SQL query to retrieve all records from books sorted by title in ascending order.,SELECT * FROM books ORDER BY title ASC,ORDER BY,Easy
232,Write a SQL query to calculate the total sum of author in the books table.,SELECT SUM(author) FROM books,AGGREGATE FUNCTIONS,Medium
233,Write a SQL query to find the minimum value of location in the departments table.,SELECT MIN(location) FROM departments,AGGREGATE FUNCTIONS,Easy
234,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
235,Write a SQL query to select all records from sales where product_id < 13.,SELECT * FROM sales WHERE product_id<13,WHERE,Medium
236,Write a SQL query to select all records from books where publish_year <= 87.,SELECT * FROM books WHERE publish_year<=87,WHERE,Hard
237,Write a SQL query to select the student_id and grade columns from the students table.,"SELECT student_id,grade FROM students",SELECT,Medium
238,Write a SQL query to find the minimum value of author in the books table.,SELECT MIN(author) FROM books,AGGREGATE FUNCTIONS,Easy
239,Write a SQL query to retrieve all records from departments sorted by budget in descending order.,SELECT * FROM departments ORDER BY budget DESC,ORDER BY,Medium
240,Write a SQL query to retrieve all records from departments sorted by budget in ascending order.,SELECT * FROM departments ORDER BY budget ASC,ORDER BY,Easy
241,Write a SQL query to count the number of records in the employees table.,SELECT COUNT(*) FROM employees,AGGREGATE FUNCTIONS,Easy
242,Write a SQL query to retrieve all records from sales sorted by revenue in ascending order.,SELECT * FROM sales ORDER BY revenue ASC,ORDER BY,Easy
243,Write a SQL query to retrieve all records from sales sorted by revenue in descending order.,SELECT * FROM sales ORDER BY revenue DESC,ORDER BY,Medium
244,Write a SQL query to retrieve all records from the books table.,SELECT * FROM books,SELECT,Easy
245,Write a SQL query to retrieve all records from flights sorted by flight_id in ascending order.,SELECT * FROM flights ORDER BY flight_id ASC,ORDER BY,Easy
246,Write a SQL query to find the count for each product_name in the products table.,"SELECT product_name,COUNT(*) FROM products GROUP BY product_name",GROUP BY,Easy
247,Write a SQL query to select all records from departments where dept_name <= 91.,SELECT * FROM departments WHERE dept_name<=91,WHERE,Hard
248,Write a SQL query to calculate the average of price in the flights table.,SELECT AVG(price) FROM flights,AGGREGATE FUNCTIONS,Medium
249,Write a SQL query to find the maximum value of course_name in the courses table.,SELECT MAX(course_name) FROM courses,AGGREGATE FUNCTIONS,Easy
250,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
251,Write a SQL query to find the minimum value of genre in the books table.,SELECT MIN(genre) FROM books,AGGREGATE FUNCTIONS,Easy
252,Write a SQL query to select all records from books where genre <= 77.,SELECT * FROM books WHERE genre<=77,WHERE,Hard
253,Write a SQL query to select all records from customers where city >= 61.,SELECT * FROM customers WHERE city>=61,WHERE,Hard
254,Write a SQL query to select all records from orders where total_amount != 32.,SELECT * FROM orders WHERE total_amount!=32,WHERE,Hard
255,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
256,Write a SQL query to find the maximum value of stock in the products table.,SELECT MAX(stock) FROM products,AGGREGATE FUNCTIONS,Easy
257,Write a SQL query to retrieve all records from sales sorted by sale_date in ascending order.,SELECT * FROM sales ORDER BY sale_date ASC,ORDER BY,Easy
258,Write a SQL query to select all records from courses where department <= 11.,SELECT * FROM courses WHERE department<=11,WHERE,Hard
259,Write a SQL query to find the min for each credits in the courses table.,"SELECT credits,MIN(instructor) FROM courses GROUP BY credits",GROUP BY,Medium
260,Write a SQL query to select all records from customers where city >= 100.,SELECT * FROM customers WHERE city>=100,WHERE,Hard
261,Write a SQL query to find the avg for each customer_id in the customers table.,"SELECT customer_id,AVG(city) FROM customers GROUP BY customer_id",GROUP BY,Medium
262,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
263,Write a SQL query to retrieve all records from orders sorted by order_date in descending order.,SELECT * FROM orders ORDER BY order_date DESC,ORDER BY,Medium
264,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
265,Write a SQL query to retrieve all records from customers sorted by city in ascending order.,SELECT * FROM customers ORDER BY city ASC,ORDER BY,Easy
266,Write a SQL query to find the count for each age in the students table.,"SELECT age,COUNT(*) FROM students GROUP BY age",GROUP BY,Easy
267,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
268,Write a SQL query to retrieve all records from products sorted by price in ascending order.,SELECT * FROM products ORDER BY price ASC,ORDER BY,Easy
269,Write a SQL query to find the sum for each category in the products table.,"SELECT category,SUM(product_id) FROM products GROUP BY category",GROUP BY,Medium
270,Write a SQL query to retrieve all records from the products table.,SELECT * FROM products,SELECT,Easy
271,Write a SQL query to find the maximum value of flight_id in the flights table.,SELECT MAX(flight_id) FROM flights,AGGREGATE FUNCTIONS,Easy
272,Write a SQL query to find the minimum value of department in the courses table.,SELECT MIN(department) FROM courses,AGGREGATE FUNCTIONS,Easy
273,Write a SQL query to select all records from departments where location = 85.,SELECT * FROM departments WHERE location=85,WHERE,Easy
274,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
275,Write a SQL query to calculate the total sum of origin in the flights table.,SELECT SUM(origin) FROM flights,AGGREGATE FUNCTIONS,Medium
276,Write a SQL query to retrieve all records from employees sorted by salary in ascending order.,SELECT * FROM employees ORDER BY salary ASC,ORDER BY,Easy
277,Write a SQL query to retrieve all records from products sorted by product_id in descending order.,SELECT * FROM products ORDER BY product_id DESC,ORDER BY,Medium
278,Write a SQL query to find the max for each price in the products table.,"SELECT price,MAX(stock) FROM products GROUP BY price",GROUP BY,Medium
279,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
280,Write a SQL query to select all records from customers where city = 9.,SELECT * FROM customers WHERE city=9,WHERE,Easy
281,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
282,Write a SQL query to retrieve all records from sales sorted by quantity in descending order.,SELECT * FROM sales ORDER BY quantity DESC,ORDER BY,Medium
283,Write a SQL query to find the minimum value of product_name in the products table.,SELECT MIN(product_name) FROM products,AGGREGATE FUNCTIONS,Easy
284,Write a SQL query to find the maximum value of budget in the departments table.,SELECT MAX(budget) FROM departments,AGGREGATE FUNCTIONS,Easy
285,Write a SQL query to select the first_name and last_name columns from the customers table.,"SELECT first_name,last_name FROM customers",SELECT,Medium
286,Write a SQL query to select the manager and budget columns from the departments table.,"SELECT manager,budget FROM departments",SELECT,Medium
287,Write a SQL query to calculate the total sum of student_id in the students table.,SELECT SUM(student_id) FROM students,AGGREGATE FUNCTIONS,Medium
288,Write a SQL query to find the count for each order_date in the orders table.,"SELECT order_date,COUNT(*) FROM orders GROUP BY order_date",GROUP BY,Easy
289,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
290,Write a SQL query to select all records from flights where origin != 21.,SELECT * FROM flights WHERE origin!=21,WHERE,Hard
291,Write a SQL query to find the minimum value of sale_id in the sales table.,SELECT MIN(sale_id) FROM sales,AGGREGATE FUNCTIONS,Easy
292,Write a SQL query to calculate the average of order_date in the orders table.,SELECT AVG(order_date) FROM orders,AGGREGATE FUNCTIONS,Medium
293,Write a SQL query to find the min for each order_date in the orders table.,"SELECT order_date,MIN(customer_id) FROM orders GROUP BY order_date",GROUP BY,Medium
294,Write a SQL query to select the title and book_id columns from the books table.,"SELECT title,book_id FROM books",SELECT,Medium
295,Write a SQL query to find the count for each product_name in the products table.,"SELECT product_name,COUNT(*) FROM products GROUP BY product_name",GROUP BY,Easy
296,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
297,Write a SQL query to select all records from students where age >= 15.,SELECT * FROM students WHERE age>=15,WHERE,Hard
298,Write a SQL query to find the maximum value of quantity in the sales table.,SELECT MAX(quantity) FROM sales,AGGREGATE FUNCTIONS,Easy
